site,Taxon,Comparison,Overall Difference in AR,Percent Change in AR
UMBS,T. angustifolia,high - low,-0.17,-43.2
UMBS,T. glauca,high - low,-0.11,-33.49
UMBS,T. latifolia,med - low,-0.2,-61.19
ESGR,T. angustifolia,med - low,-0.05,-10.63
ESGR,T. glauca,high - low,0.01,2.87
ESGR,T. latifolia,high - med,0.03,30.57
